id,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
0,39.1,18.7,181,3750,1,2007
1,39.5,17.4,186,3800,0,2007
2,40.3,18,195,3250,0,2007
3,36.7,19.3,193,3450,0,2007
4,39.3,20.6,190,3650,1,2007
5,38.9,17.8,181,3625,0,2007
6,39.2,19.6,195,4675,1,2007
7,41.1,17.6,182,3200,0,2007
8,38.6,21.2,191,3800,1,2007
9,34.6,21.1,198,4400,1,2007
10,36.6,17.8,185,3700,0,2007
11,38.7,19,195,3450,0,2007
12,42.5,20.7,197,4500,1,2007
13,34.4,18.4,184,3325,0,2007
14,46,21.5,194,4200,1,2007
15,37.8,18.3,174,3400,0,2007
16,37.7,18.7,180,3600,1,2007
17,35.9,19.2,189,3800,0,2007
18,38.2,18.1,185,3950,1,2007
19,38.8,17.2,180,3800,1,2007
20,35.3,18.9,187,3800,0,2007
21,40.6,18.6,183,3550,1,2007
22,40.5,17.9,187,3200,0,2007
23,37.9,18.6,172,3150,0,2007
24,40.5,18.9,180,3950,1,2007
25,39.5,16.7,178,3250,0,2007
26,37.2,18.1,178,3900,1,2007
27,39.5,17.8,188,3300,0,2007
28,40.9,18.9,184,3900,1,2007
29,36.4,17,195,3325,0,2007
30,39.2,21.1,196,4150,1,2007
31,38.8,20,190,3950,1,2007
32,42.2,18.5,180,3550,0,2007
33,37.6,19.3,181,3300,0,2007
34,39.8,19.1,184,4650,1,2007
35,36.5,18,182,3150,0,2007
36,40.8,18.4,195,3900,1,2007
37,36,18.5,186,3100,0,2007
38,44.1,19.7,196,4400,1,2007
39,37,16.9,185,3000,0,2007
40,39.6,18.8,190,4600,1,2007
41,41.1,19,182,3425,1,2007
42,37.5,18.9,179,2975,1,2007
43,36,17.9,190,3450,0,2007
44,42.3,21.2,191,4150,1,2007
45,39.6,17.7,186,3500,0,2008
46,40.1,18.9,188,4300,1,2008
47,35,17.9,190,3450,0,2008
48,42,19.5,200,4050,1,2008
49,34.5,18.1,187,2900,0,2008
50,41.4,18.6,191,3700,1,2008
51,39,17.5,186,3550,0,2008
52,40.6,18.8,193,3800,1,2008
53,36.5,16.6,181,2850,0,2008
54,37.6,19.1,194,3750,1,2008
55,35.7,16.9,185,3150,0,2008
56,41.3,21.1,195,4400,1,2008
57,37.6,17,185,3600,0,2008
58,41.1,18.2,192,4050,1,2008
59,36.4,17.1,184,2850,0,2008
60,41.6,18,192,3950,1,2008
61,35.5,16.2,195,3350,0,2008
62,41.1,19.1,188,4100,1,2008
63,35.9,16.6,190,3050,0,2008
64,41.8,19.4,198,4450,1,2008
65,33.5,19,190,3600,0,2008
66,39.7,18.4,190,3900,1,2008
67,39.6,17.2,196,3550,0,2008
68,45.8,18.9,197,4150,1,2008
69,35.5,17.5,190,3700,0,2008
70,42.8,18.5,195,4250,1,2008
71,40.9,16.8,191,3700,0,2008
72,37.2,19.4,184,3900,1,2008
73,36.2,16.1,187,3550,0,2008
74,42.1,19.1,195,4000,1,2008
75,34.6,17.2,189,3200,0,2008
76,42.9,17.6,196,4700,1,2008
77,36.7,18.8,187,3800,0,2008
78,35.1,19.4,193,4200,1,2008
79,37.3,17.8,191,3350,0,2008
80,41.3,20.3,194,3550,1,2008
81,36.3,19.5,190,3800,1,2008
82,36.9,18.6,189,3500,0,2008
83,38.3,19.2,189,3950,1,2008
84,38.9,18.8,190,3600,0,2008
85,35.7,18,202,3550,0,2008
86,41.1,18.1,205,4300,1,2008
87,34,17.1,185,3400,0,2008
